Oyuncu,OynadigiOyunSayisi,OynadigiDakika,OyunBasinaSayi,NormalAtisSayisi,NormalAtisGirisimi,NormalAtisOrani,3lukSayilar,3lukSayiGirisimi,3lukSayiOrani,SerbestAtisSayisi,SerbestAtisGirisimi,SerbestAtisOrani,HucumRebounduSayisi,DefansRebounduSayisi,ReboundSayisi,AsistSayisi,TopCalma,Blok,TopCalma,Oyuncu 5 Sene Devam Edebilecek mi?
Rudy Macklin,79,19.2,7,2.7,6.1,43.4,0,0,0,1.7,2.2,77.5,1.4,1.9,3.3,0.6,0.5,0.3,1.4,HAYIR
Sam Williams,59,18.2,6.1,2.6,4.7,55.6,0,0,,0.8,1.5,55.1,1.5,3.7,5.2,0.6,0.8,1.3,1.1,HAYIR
Kurt Rambis,64,17.7,4.6,1.8,3.6,51.8,0,0,0,0.9,1.8,50.4,1.8,3.6,5.4,0.9,0.9,1.2,1.2,EVET
Kurt Nimphius,63,17.2,5.3,2.2,4.7,46.1,0,0,,1,1.7,58.3,1.5,3.2,4.7,1,0.3,1.3,0.9,EVET
Pete Verhoeven,71,17,4.9,2.1,4.2,50.3,0,0,,0.7,1,70.8,1.5,2.1,3.6,0.7,0.6,0.3,0.8,EVET
Darnell Valentine,82,16.9,6.4,2.3,5.5,41.3,0,0.1,0,1.9,2.4,76,0.6,1.2,1.8,3.3,1.1,0,1.6,EVET
Jim Brogan,63,16.3,6.3,2.6,5.8,45.3,0.1,0.5,28.1,1,1.3,72.6,1,0.9,1.9,2.5,0.8,0.2,1.3,HAYIR
John Douglas,64,16.1,7,2.8,6.1,46.5,0.3,0.9,30.5,1,1.6,65.7,0.4,1,1.4,2.3,0.8,0.1,1.4,HAYIR
Kevin Loder,71,16,6.9,2.9,6.3,46.4,0,0.2,0,1.1,1.5,72,1,1.8,2.7,1.2,0.5,0.4,1,HAYIR
Orlando Woolridge,75,15.8,7.3,2.7,5.3,51.3,0,0,0,1.9,2.7,69.9,1.1,1.9,3,1.1,0.3,0.3,1.4,EVET
Alton Lister,80,14.8,4.5,1.9,3.6,51.9,0,0,0,0.8,1.5,52,1.4,3.5,4.8,1.1,0.2,1.5,1.6,EVET
Larry Nance,80,14.8,6.6,2.8,5.5,52.1,0,0,0,0.9,1.5,64.1,1.2,2,3.2,1,0.5,0.9,1.3,EVET
Danny Vranes,77,14,4.9,1.9,3.4,54.6,0,0,0,1.2,1.9,60.1,0.9,1.6,2.6,0.7,0.4,0.3,0.9,EVET
Ed Rains,49,13,3.9,1.6,3.6,43.5,0,0,0,0.8,1.3,59.4,0.8,0.9,1.6,0.8,0.4,0,0.5,HAYIR
Peyton Siva,24,9.3,2.3,0.8,2.4,31.6,0.3,1,28,0.5,0.6,73.3,0.1,0.5,0.6,1.4,0.4,0,0.8,HAYIR
Jim Smith,72,11.9,2.9,1.2,2.3,50.9,0,0,,0.5,1.2,45.9,1,1.5,2.5,0.6,0.3,0.7,0.7,HAYIR
Jeff Lamp,54,11.4,4.6,1.9,3.6,51,0,0,0,0.9,1.1,82,0.4,0.7,1.2,0.5,0.3,0,0.8,EVET
Ray Blume,49,11.1,4.6,2.1,4.5,45.9,0.1,0.4,22.2,0.4,0.6,64.3,0.3,0.6,0.8,1.4,0.5,0,1.1,HAYIR
Garry Witts,46,10.7,2.9,1.1,1.8,58.3,0,0,50,0.7,0.9,82.5,0.6,0.7,1.3,0.8,0.4,0.1,0.8,HAYIR
Charlie Davis,54,10.6,3.8,1.6,3.4,47.8,0,0,0,0.6,0.7,81.1,1,1.5,2.5,0.6,0.2,0.2,0.8,HAYIR
Danny Ainge,53,10.6,4.1,1.5,4.2,35.7,0.1,0.3,29.4,1.1,1.2,86.2,0.5,0.6,1.1,1.6,0.7,0.1,1,EVET
Mike McGee,39,9,4.9,2.1,4.4,46.5,0,0.1,0,0.8,1.4,58.5,0.9,0.4,1.3,0.4,0.5,0.1,0.9,EVET
Mark Radford,43,8.6,3.4,1.3,2.3,54,0,0.1,66.7,0.8,1.6,50.7,0.3,0.4,0.7,1.3,0.4,0.1,1,HAYIR
Alex Bradley,39,8.5,3.5,1.4,2.6,52.4,0,0,0,0.7,1.2,60.4,0.8,0.9,1.7,0.3,0.3,0.1,0.7,HAYIR
Reggie Bullock,43,9.2,2.7,1,2.8,35.5,0.5,1.7,30.1,0.2,0.2,77.8,0.3,1,1.3,0.3,0.2,0,0.3,HAYIR
Howard Wood,42,8.1,3.4,1.3,2.9,45.8,0,0,0,0.8,1.2,65.4,0.5,1,1.5,0.2,0.2,0.1,0.4,HAYIR
Franklin Edwards,42,6.9,3.6,1.5,3.6,43.3,0,0.2,0,0.5,0.6,74.1,0.2,0.4,0.6,1.1,0.4,0.1,0.6,EVET
Bobby Cattage,49,6.9,3.1,1.2,2.8,44.4,0,0,0,0.6,0.8,73.2,0.4,1,1.5,0.1,0.1,0,0.4,HAYIR
Charles Bradley,51,6.6,3,1.1,2.4,45.1,0,0,0,0.8,1.2,67.7,0.2,0.5,0.7,0.4,0.3,0.1,0.7,HAYIR
Kevin McKenna,36,6.6,1.9,0.8,2.4,32.2,0,0.1,0,0.3,0.5,64.7,0.5,0.3,0.8,0.4,0.3,0.1,0.6,EVET
Joe Barry Carroll,82,35.6,18.9,7.5,15.3,49.1,0,0,0,3.8,5.4,71.6,3.3,5.9,9.3,1.4,0.6,1.5,3,EVET
Darrell Griffith,81,35.4,20.6,8.8,19.1,46.4,0.1,0.6,19.2,2.8,4,71.6,1,2.6,3.6,2.4,1.3,0.5,2.9,EVET
Larry Smith,82,31.4,9.6,3.7,7.2,51.2,0,0,0,2.2,3.7,58.8,5.3,6.8,12.1,1.1,0.8,0.8,1.8,EVET
Mike O'Koren,79,31.3,11,4.6,9.5,48.6,0.1,0.2,27.8,1.7,2.7,63.7,2.3,3.8,6.1,3.2,1.1,0.3,1.9,EVET
Kelvin Ransey,80,30.4,15.2,6.6,14.5,45.2,0,0.4,9.7,2.1,2.7,74.9,0.5,1.9,2.4,6.9,1.1,0.1,2.9,EVET
Malcolm Delaney,33,16.4,5.3,2,5.3,37.1,0.2,1.4,17.4,1.1,1.3,86,0.2,1.5,1.6,2.8,0.4,0,1.5,HAYIR
Otto Porter,37,8.6,2.1,0.9,2.5,36.3,0.1,0.6,19,0.2,0.3,66.7,0.6,1,1.5,0.3,0.2,0,0.4,HAYIR
Bill Laimbeer,81,30.4,9.8,4.2,8.3,50.3,0,0,0,1.4,1.9,76.5,3.3,5.3,8.6,2.7,0.7,1,1.6,EVET
Michael Brooks,82,30.2,14.7,6,12.4,47.9,0,0.1,0,2.8,3.9,70.6,2.6,2.8,5.4,2.5,1.2,0.4,2,EVET
Mike Gminski,56,28.2,13.2,5.2,12.3,42.3,0,0,0,2.8,3.6,76.7,2.4,5,7.5,1.3,1,1.8,2.3,EVET
Darwin Cook,81,24.4,11.2,4.7,10.1,46.8,0.1,0.3,24,1.6,2.2,73.3,1.2,1.7,2.9,3.7,1.7,0.4,2.2,EVET
Andrew Toney,75,23.6,12.9,5.3,10.7,49.5,0.1,0.4,31,2.1,3,71.2,0.4,1.5,1.9,3.6,0.8,0.1,2.9,EVET
Cedrick Hordges,68,23.5,8.4,3.3,7.1,46,0,0,0,1.9,2.7,69.9,1.8,5,6.7,1.5,0.5,0.3,1.8,HAYIR
Calvin Garrett,70,23.4,6.1,2.7,5.9,45.3,0,0,33.3,0.7,0.9,80.6,1.2,2.6,3.8,1.9,0.7,0.1,1.3,HAYIR
Don Collins,81,22.8,11.5,4.4,10,44.4,0,0.1,0,2.6,3.4,77.6,1.6,1.7,3.3,2.3,1.3,0.3,2.1,EVET
Louis Orr,82,21.8,10.5,4.2,8.6,49.1,0,0.1,0,2,2.5,80.7,2.1,2.3,4.4,1.6,0.7,0.3,1.5,EVET
Reggie Johnson,79,21.7,10.2,4.3,8.6,49.9,0,0,0,1.6,2.4,66.3,1.7,2.9,4.5,1,0.6,0.6,1.6,HAYIR
Larry Drew,76,20.8,6.6,2.6,6.4,40.7,0.1,0.2,23.5,1.4,1.8,79.7,0.3,1.3,1.6,3.3,1.2,0.1,2.2,EVET
Larry Drew,76,20.8,6.6,2.6,6.4,40.7,0.1,0.2,23.5,1.4,1.8,79.7,0.3,1.3,1.6,3.3,1.2,0.1,2.2,HAYIR
Kevin McHale*,82,20.1,10,4.3,8.1,53.3,0,0,0,1.3,1.9,67.9,1.9,2.5,4.4,0.7,0.3,1.8,1.3,EVET
Lowes Moore,71,19.8,7,3,6.7,44.4,0.1,0.4,14.8,1,1.3,75,0.6,1.8,2.4,3.2,0.9,0.2,1.5,HAYIR
Wayne Robinson,81,19.7,7.9,2.9,6.3,46,0,0.1,0,2.2,3,72.9,1.4,2.2,3.6,1.4,0.6,0.3,1.8,HAYIR
Johnny Moore,82,19.2,7.4,3,6.3,47.9,0,0.2,5.3,1.3,2.1,61,0.7,1.7,2.4,4.5,1.5,0.3,1.9,EVET
Jeff Wilkins,56,18.9,4.7,2.1,4.6,45,0,0,,0.5,0.7,67.5,1.1,3.8,4.9,0.7,0.6,0.8,1.1,EVET
Kyle Macy,82,17.9,8.1,3.3,6.5,51.1,0.1,0.6,23.5,1.3,1.5,89.9,0.5,1.1,1.6,2,0.9,0.1,1.2,EVET
Bill Hanzlik,74,17,5.4,1.9,3.9,47.8,0,0.1,20,1.6,2,79.3,0.9,1.2,2.1,1.5,0.8,0.3,1.1,EVET
Solomon Hill,28,8.1,1.7,0.6,1.4,42.5,0.3,0.8,30.4,0.2,0.3,85.7,0.3,1.1,1.5,0.4,0.2,0.1,0.5,HAYIR
Edgar Jones,60,15.8,8.7,3.2,6,52.9,0,0.1,0,2.4,3.6,67,1.5,2.9,4.4,0.7,0.6,1.4,1.7,EVET
Sam Worthen,64,14.8,3.7,1.5,3,49.5,0,0.1,0,0.7,0.9,75,0.3,1.5,1.8,1.8,0.9,0.1,1.4,HAYIR
James Johnson,68,14.4,5.3,1.9,3.5,54.2,0,0,0,1.5,2.5,59.4,1.6,3,4.5,0.6,0.1,1.1,1,EVET
James Johnson,65,11.6,3.9,1.5,3.2,45.2,0.2,0.7,32.6,0.8,1.1,72.9,0.5,1.4,2,0.7,0.3,0.7,0.9,EVET
Lorenzo Romar,53,13.7,4.1,1.6,4,41.2,0,0.1,33.3,0.8,1.2,68.3,0.2,0.9,1.1,2.6,0.5,0.1,1,EVET
Rick Mahorn,52,13.4,4.8,2.1,4.2,50.7,0,0,0,0.5,0.8,67.5,1.3,2.8,4.1,0.5,0.4,0.8,0.7,EVET
Rickey Brown,45,12.9,4,1.8,3.6,51.2,0,0,0,0.4,0.5,76.2,1.2,2.5,3.7,0.5,0.2,0.3,0.7,EVET
Butch Carter,54,12.4,5.6,2.1,4.6,46.2,0.1,0.2,30,1.3,1.8,73.7,0.6,0.6,1.2,1,0.4,0,0.9,EVET
Mike Woodson,81,11.7,4.7,2,4.6,44.2,0,0.1,20,0.6,0.8,76.6,0.4,0.8,1.2,0.9,0.4,0.1,0.7,EVET
John Duren,40,11.5,1.8,0.8,2.5,32.7,0,0,0,0.1,0.2,55.6,0.2,0.7,0.9,1.4,0.5,0.1,0.9,HAYIR
James Wilkes,48,11.3,4.1,1.8,3.8,46.2,0,0,0,0.6,0.9,69,0.8,1.3,2,0.6,0.5,0.3,0.7,HAYIR
Shabazz Muhammad,37,7.8,3.9,1.5,3.4,46,0.1,0.3,27.3,0.7,1.1,65,0.6,0.8,1.4,0.2,0.2,0,0.4,HAYIR
DeWayne Scales,44,11,4.9,2.1,5.1,41.8,0,0.1,16.7,0.6,0.9,66.7,1.1,1.9,3,0.2,0.3,0.1,0.7,HAYIR
Craig Shelton,55,10.7,4.3,1.8,4,45.7,0,0,0,0.6,1.1,60.3,1.1,1.4,2.5,0.5,0.3,0.1,1.1,HAYIR
Earl Cureton,52,10.2,4.2,1.8,3.9,45.4,0,0,0,0.6,1.2,51.6,1,2,3,0.5,0.4,0.4,0.6,EVET
Billy Reid,59,10.1,3.2,1.4,3.1,45.4,0,0.1,0,0.4,0.7,56.4,0.5,0.6,1,1.2,0.6,0.1,1.3,HAYIR
Jerry Sichting,47,9.6,2,0.7,2,35.8,0,0.1,0,0.5,0.7,78.1,0.2,0.7,0.9,1.5,0.5,0,0.6,EVET
Reggie Carter,60,8.9,2.8,1,3,33,0,0.1,0,0.9,1.2,73.9,0.5,0.7,1.2,1.3,0.4,0,0.6,HAYIR
Mike Harper,55,8.4,2.7,1,2.5,41.2,0,0.1,0,0.7,1.5,43.5,0.5,1.2,1.7,0.3,0.4,0.4,0.6,HAYIR
Mike Niles,44,5.3,2.6,1.1,3.1,34.8,0,0.1,50,0.4,0.8,45.9,0.6,0.7,1.3,0.3,0.2,0,0.6,HAYIR
Toure' Murry,51,7.3,2.7,1.1,2.5,43.4,0.1,0.2,41.7,0.5,0.8,59,0.3,0.6,0.9,1,0.4,0,0.7,HAYIR
Dionte Christmas,31,6.4,2.3,0.7,2,35.5,0.3,1,29,0.6,0.8,75,0.4,0.8,1.2,0.3,0.1,0.1,0.2,HAYIR
Damian Lillard,82,38.6,19,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,0.5,2.6,3.1,6.5,0.9,0.2,3,EVET
Bradley Beal,56,31.2,13.9,5,12.3,41,1.6,4.2,38.6,2.2,2.8,78.6,0.8,3,3.8,2.4,0.9,0.5,1.6,EVET
Semaj Christon,33,15.6,3,1.3,4,31.8,0.2,1.1,16.7,0.3,0.5,52.9,0.4,1,1.4,2.5,0.4,0.1,0.7,HAYIR
Anthony Davis,64,28.8,13.5,5.5,10.6,51.6,0,0.1,0,2.6,3.5,75.1,2.6,5.6,8.2,1,1.2,1.8,1.4,EVET
Dion Waiters,61,28.8,14.7,5.5,13.4,41.2,1,3.3,31,2.6,3.5,74.6,0.4,2.1,2.4,3,1,0.3,2,EVET
Kyle Singler,82,28,8.8,3.4,7.8,42.8,0.9,2.4,35,1.2,1.5,80.6,1.3,2.7,4,0.9,0.7,0.5,1.2,EVET
Tyler Zeller,77,26.4,7.9,3.2,7.3,43.8,0,0.1,0,1.6,2,76.4,2.1,3.6,5.7,1.2,0.5,0.9,1.2,EVET
Maurice Harkless,76,26,8.2,3.4,7.4,46.1,0.4,1.5,27.4,1,1.7,57,1.6,2.8,4.4,0.7,1.2,0.8,0.9,EVET
Michael Kidd-Gilchrist,78,26,9,3.6,7.9,45.8,0,0.1,22.2,1.8,2.4,74.9,1.7,4.2,5.8,1.5,0.7,0.9,1.3,EVET
Harrison Barnes,81,25.4,9.2,3.4,7.8,43.9,0.6,1.8,35.9,1.8,2.3,75.8,0.7,3.5,4.1,1.2,0.6,0.2,1.3,EVET
Austin Rivers,61,23.2,6.2,2.4,6.4,37.2,0.5,1.4,32.6,1,1.8,54.6,0.3,1.5,1.8,2.1,0.4,0.1,1.2,EVET
Caris LeVert,12,15.5,4.7,1.6,4.4,35.8,0.8,2.6,32.3,0.7,1,66.7,0.3,2.3,2.6,1.3,0.9,0.2,0.6,HAYIR
Andre Drummond,60,20.7,7.9,3.5,5.7,60.8,0,0,50,1,2.7,37.1,2.8,4.8,7.6,0.5,1,1.6,0.9,EVET
Jared Sullinger,45,19.8,6,2.5,5,49.3,0,0.1,20,1,1.4,74.6,2,3.8,5.9,0.8,0.5,0.5,0.6,HAYIR
Meyers Leonard,69,17.5,5.5,2.2,4,54.5,0,0.1,42.9,1,1.3,80.9,1.2,2.5,3.7,0.5,0.2,0.6,0.7,EVET
Patrick Beverley,41,17.4,5.6,1.9,4.6,41.8,0.9,2.3,37.5,0.8,1,82.9,1.1,1.6,2.7,2.9,0.9,0.5,1.1,EVET
Jae Crowder,78,17.3,5,1.8,4.7,38.4,0.8,2.5,32.8,0.6,0.9,64.4,0.4,1.9,2.4,1.2,0.8,0.2,0.6,EVET
Brian Roberts,78,17,7.1,2.7,6.6,41.7,0.8,2,38.6,0.9,1,90.9,0.2,1,1.2,2.8,0.5,0,0.9,EVET
Terrence Ross,73,17,6.4,2.5,6.3,40.7,0.9,2.7,33.2,0.4,0.6,71.4,0.5,1.5,2,0.7,0.6,0.2,0.7,EVET
Chris Copeland,56,15.4,8.7,3.3,6.8,47.9,1.1,2.5,42.1,1.1,1.5,75.9,0.6,1.5,2.1,0.5,0.3,0.2,0.9,HAYIR
Thomas Robinson,70,15.1,4.8,2,4.6,43,0,0,0,0.8,1.6,52.3,1.7,2.8,4.5,0.7,0.6,0.4,1.3,EVET
John Jenkins,61,14.8,6.1,2.1,4.8,44.6,0.9,2.3,38.4,1,1.1,84.3,0.3,1.3,1.5,0.9,0.2,0.2,0.7,EVET
Kendall Marshall,48,14.6,3,1.2,3.1,37.1,0.5,1.5,31.5,0.2,0.3,57.1,0.1,0.8,0.9,3,0.5,0.1,1.2,HAYIR
Draymond Green,79,13.4,2.9,1.1,3.3,32.7,0.2,0.8,20.9,0.6,0.7,81.8,0.7,2.6,3.3,0.7,0.5,0.3,0.7,EVET
Darius Miller,52,13.3,2.3,0.8,2.1,40.7,0.4,1.1,39.3,0.2,0.2,100,0.2,1.3,1.5,0.8,0.3,0.2,0.4,HAYIR
John Henson,63,13.1,6,2.6,5.3,48.2,0,0,0,0.9,1.7,53.3,1.8,2.9,4.7,0.5,0.3,0.7,0.8,EVET
Sheldon McClellan,11,13.7,4.8,1.5,3.7,41.5,0.3,1.4,20,1.5,1.6,88.9,0.2,0.7,0.9,0.8,0.5,0.1,0.2,HAYIR
DeQuan Jones,63,12.7,3.7,1.5,3.5,43.6,0.1,0.6,25.7,0.5,0.8,66.7,0.3,1.4,1.7,0.3,0.3,0.3,0.5,HAYIR
Doron Lamb,47,12.3,3.3,1.3,3.5,36.8,0.3,0.8,37.8,0.4,0.7,58.8,0.2,0.8,1,0.7,0.3,0,0.6,HAYIR
Will Barton,73,12.2,4,1.6,4.2,38.2,0.1,0.9,13.8,0.7,0.9,76.9,0.5,1.5,2,0.8,0.5,0.1,0.8,EVET
Orlando Johnson,51,12.1,4,1.4,3.5,40,0.7,1.8,38.3,0.5,0.6,71.9,0.4,1.8,2.2,0.9,0.2,0.2,0.6,HAYIR
Arnett Moultrie,47,11.5,3.7,1.7,2.9,58.2,0,0,0,0.4,0.6,64.3,1.6,1.5,3.1,0.2,0.4,0.2,0.4,HAYIR
Kyle O'Quinn,57,11.2,4.1,1.8,3.5,51.3,0,0,0,0.5,0.8,66.7,1.1,2.5,3.7,0.9,0.2,0.5,0.7,EVET
Bernard James,46,9.9,2.8,1.2,2.2,51.5,0,0,0,0.5,0.9,61,1.1,1.7,2.8,0.1,0.3,0.8,0.4,HAYIR
Kim English,41,9.9,2.9,1,2.7,37.5,0.3,1.2,28,0.5,0.7,72.4,0.2,0.7,0.9,0.6,0.4,0.1,0.5,HAYIR
Rodney McGruder,30,25.7,5.8,2.1,5.3,40,0.8,2.6,32.5,0.7,1,72.4,1.5,2,3.5,1.5,0.7,0.3,0.7,HAYIR
Mike Scott,40,9.4,4.6,1.8,3.7,47.6,0,0,0,1.1,1.4,76.8,1,1.8,2.8,0.3,0.1,0.1,0.5,EVET
Marquis Teague,48,8.2,2.1,0.9,2.4,38.1,0.1,0.5,17.4,0.2,0.3,56.3,0.1,0.9,0.9,1.3,0.2,0.1,0.7,HAYIR
Tony Wroten,35,7.8,2.6,0.9,2.5,38.4,0.1,0.5,25,0.6,0.8,72.4,0.4,0.4,0.8,1.2,0.2,0.1,0.8,HAYIR
Maalik Wayns,27,7.5,2.8,1,3.3,29.5,0.3,1.1,22.6,0.6,0.7,89.5,0,0.2,0.3,1,0.2,0,0.6,HAYIR
Jeremy Lamb,23,6.4,3.1,1,3,35.3,0.4,1.3,30,0.6,0.6,100,0.2,0.6,0.8,0.2,0.1,0.1,0.3,EVET
Brandon Knight,66,32.3,12.8,4.8,11.7,41.5,1.6,4.2,38,1.6,2.1,75.9,0.5,2.7,3.2,3.8,0.7,0.1,2.6,EVET
MarShon Brooks,56,29.4,12.6,4.9,11.4,42.8,0.8,2.7,31.3,2,2.6,76.4,1.3,2.3,3.6,2.3,0.9,0.3,2.1,HAYIR
Iman Shumpert,59,28.9,9.5,3.6,9.1,40.1,0.8,2.7,30.6,1.5,1.8,79.8,0.7,2.4,3.2,2.8,1.7,0.1,1.9,EVET
Chandler Parsons,63,28.6,9.5,3.9,8.7,45.2,1,2.8,33.7,0.7,1.2,55.1,1.4,3.3,4.8,2.1,1.2,0.5,1.3,EVET
Kemba Walker,66,27.2,12.1,4.3,11.6,36.6,1,3.4,30.5,2.5,3.2,78.9,0.5,3.1,3.5,4.4,0.9,0.3,1.8,EVET
Isaiah Thomas,65,25.5,11.5,3.9,8.8,44.8,1.3,3.4,37.9,2.4,2.8,83.2,0.7,1.8,2.6,4.1,0.8,0.1,1.6,EVET
Klay Thompson,66,24.4,12.5,4.8,10.9,44.3,1.7,4.1,41.4,1.2,1.4,86.8,0.4,2.1,2.4,2,0.7,0.3,1.6,EVET
Kawhi Leonard,64,24,7.9,3.1,6.3,49.3,0.6,1.7,37.6,1.1,1.4,77.3,1.6,3.5,5.1,1.1,1.3,0.4,0.7,EVET
Wade Baldwin,22,13.5,3.5,1.2,3.8,31.3,0.1,0.8,11.1,1,1.3,82.1,0.3,1.1,1.5,2.1,0.6,0.3,1.3,HAYIR
Kenneth Faried,46,22.5,10.2,3.9,6.7,58.6,0,0,0,2.4,3.6,66.5,3.1,4.6,7.7,0.8,0.7,1,1.2,EVET
Chris Singleton,66,21.7,4.6,1.8,4.7,37.2,0.7,1.9,34.6,0.5,0.7,68.2,0.7,2.9,3.5,0.7,1.1,0.5,0.6,HAYIR
Derrick Williams,66,21.5,8.8,3.1,7.5,41.2,0.6,2.1,26.8,2.1,3,69.7,1.2,3.5,4.7,0.6,0.5,0.5,1.2,EVET
Donald Sloan,33,20.3,5.5,2.4,6,39.9,0.1,0.8,8,0.7,0.9,76.7,0.5,1.5,2,3.2,0.4,0.1,1.5,EVET
Markieff Morris,63,19.5,7.4,2.8,6.9,39.9,0.7,2,34.7,1.2,1.7,71.7,1.1,3.3,4.4,1,0.7,0.7,1.1,EVET
Norris Cole,65,19.4,6.8,2.7,6.9,39.3,0.3,1.2,27.6,1,1.3,77.6,0.3,1.1,1.4,2,0.7,0,1.6,EVET
Jimmer Fredette,61,18.6,7.6,2.8,7.3,38.6,1.3,3.5,36.1,0.7,0.8,83.3,0.3,0.9,1.2,1.8,0.5,0.1,1.1,EVET
Charles Jenkins,51,17.5,5.8,2.5,5.7,44.7,0.1,0.4,15,0.7,0.8,87.2,0.2,1.2,1.3,3.3,0.7,0.1,1.2,HAYIR
Jaylen Brown,34,13.4,4.9,1.9,4.4,44.6,0.4,1.1,31.6,0.7,1.1,63.2,0.6,1.2,1.8,0.6,0.3,0.3,0.6,HAYIR
Ivan Johnson,56,16.7,6.4,2.5,4.9,51.3,0,0.1,33.3,1.3,1.8,72,1.2,2.9,4,0.6,0.8,0.3,1.2,HAYIR
Alec Burks,59,15.9,7.2,2.6,6.1,42.9,0.3,0.8,33.3,1.8,2.4,72.7,1,1.3,2.2,0.9,0.5,0.1,0.9,EVET
Lavoy Allen,41,15.2,4.1,1.9,4.1,47.3,0,0,0,0.3,0.3,78.6,1.1,3,4.2,0.8,0.3,0.4,0.5,EVET
Lance Thomas,42,15,4,1.4,3,45.2,0,0,0,1.2,1.5,83.9,1.2,1.8,3,0.3,0.2,0.2,0.6,EVET
Jordan Williams,43,14.8,4.6,1.8,3.5,50.7,0,0,0,1,1.5,65.2,1.5,2.1,3.6,0.3,0.5,0.3,0.5,HAYIR
Josh Harrellson,37,14.6,4.4,1.7,4,42.3,0.5,1.6,33.9,0.4,0.7,61.5,1.3,2.6,3.9,0.3,0.6,0.5,0.5,HAYIR
Greg Stiemsma,55,13.9,2.9,1.2,2.2,54.5,0,0,0,0.5,0.7,70.7,0.9,2.3,3.2,0.5,0.7,1.6,0.6,HAYIR
Jeremy Tyler,42,13.5,4.9,2.1,5,42.1,0,0,0,0.7,1.2,55.8,1.3,2,3.3,0.4,0.4,0.5,0.9,HAYIR
Malcolm Lee,19,12.8,3.3,1.2,3.1,39,0.1,0.5,20,0.7,0.9,82.4,0.5,0.9,1.4,1.6,0.4,0.2,0.9,HAYIR
Nolan Smith,44,12.3,3.8,1.5,4.1,37.2,0.3,1,28.9,0.5,0.6,71.4,0.4,0.9,1.3,1.4,0.4,0.1,0.9,HAYIR
Shelvin Mack,64,12.2,3.6,1.4,3.4,40,0.2,0.7,28.6,0.7,0.9,71.2,0.2,1.3,1.4,2,0.4,0,0.8,EVET
Jon Leuer,46,12.1,4.7,2.1,4.2,50.8,0.1,0.2,33.3,0.5,0.6,75,1,1.6,2.6,0.5,0.3,0.4,0.4,EVET
Tobias Harris,42,11.4,5,1.9,4,46.7,0.1,0.5,26.1,1,1.3,81.5,0.7,1.7,2.4,0.5,0.3,0.2,0.7,EVET
Cory Higgins,38,11.1,3.9,1.4,4.2,32.5,0.1,0.5,20,1.1,1.6,70,0.2,0.7,0.9,0.9,0.1,0.2,1,HAYIR
Andrew Goudelock,40,10.5,4.4,1.7,4.4,39.1,0.7,1.9,37.3,0.3,0.3,91.7,0.1,0.7,0.8,0.5,0.1,0,0.5,HAYIR
Jordan Hamilton,26,9.9,4.4,1.8,4.3,43.2,0.7,1.8,36.2,0.1,0.2,40,0.4,2,2.4,0.8,0.1,0.1,0.6,EVET
Mickell Gladness,26,9.7,2.2,1,2.3,42.4,0,0,0,0.2,0.5,50,0.5,1.7,2.2,0.2,0.1,0.8,0.3,HAYIR
Patrick McCaw,26,12.2,2.8,1.1,2.8,38.9,0.6,1.5,37.5,0.1,0.2,50,0.3,0.8,1,1,0.4,0.3,0.6,HAYIR
Jeremy Pargo,44,9.6,2.9,1.1,3.4,33.3,0.2,0.9,26.3,0.4,0.6,59.3,0.3,0.6,0.8,1.3,0.3,0,1.1,HAYIR
E'Twaun Moore,38,8.7,2.9,1.1,3,38.1,0.4,1.2,37.8,0.2,0.2,100,0.1,0.8,0.9,0.9,0.3,0.1,0.6,EVET
Jimmy Butler,42,8.5,2.6,0.8,1.9,40.5,0,0.3,18.2,1,1.3,76.8,0.5,0.8,1.3,0.3,0.3,0.1,0.3,EVET
JaJuan Johnson,36,8.3,3.2,1.5,3.4,44.6,0,0,0,0.2,0.3,66.7,0.6,1.1,1.6,0.2,0.1,0.4,0.4,HAYIR
Blake Griffin,82,38,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,3.3,8.8,12.1,3.8,0.8,0.6,2.7,EVET
John Wall,69,37.8,16.4,5.8,14.1,40.9,0.5,1.7,29.6,4.4,5.7,76.6,0.5,4.1,4.6,8.3,1.8,0.5,3.8,EVET
Landry Fields,82,31,9.7,3.6,7.3,49.7,1,2.7,39.3,1.4,1.8,76.9,1.3,5.1,6.4,1.9,1,0.2,1.3,EVET
DeMarcus Cousins,81,28.5,14.1,5.3,12.4,43,0,0.2,16.7,3.4,5,68.7,2.7,6,8.6,2.5,1.1,0.8,3.3,EVET
Greg Monroe,80,27.8,9.4,3.8,6.9,55.1,0,0,0,1.8,2.9,62.2,3.1,4.4,7.5,1.3,1.2,0.6,1,EVET
Wesley Johnson,79,26.2,9,3.4,8.6,39.7,1.3,3.7,35.6,0.8,1.2,69.6,0.6,2.4,3,1.9,0.7,0.7,1.2,EVET
Ed Davis,65,24.6,7.7,3.3,5.7,57.6,0,0,0,1.1,2,55.5,2.6,4.5,7.1,0.6,0.6,1,0.7,EVET
Jordan Crawford,42,24.5,11.7,4.6,11.9,38.4,0.8,3,25.8,1.7,2,86.9,0.7,1.8,2.5,2.8,0.9,0.1,2,HAYIR
